TransactionID,TransactionAmt,TransactionDT,ProductCD,UserID,Merchant,CardNumber,BINNumber,CardNetwork,CardTier,CardType,PhoneNumbers,UserRegion,OrderRegion,ReceiverRegion,Distance,SenderEmail,MerchantEmail,DeviceType,DeviceInfo,DaysSinceLastTransac,SameCardDaysDiff,SameAddressDaysDiff,SameMerchantEmailDaysDiff,SameDeviceTypeDaysDiff,DeviceMatching,DeviceMismatch,RegionMismatch,TransactionConsistency,TransactionCount,UniqueMerchants,SameOrderRegionCount,SameDeviceCount,UniqueOrderRegion,TransactionTimeSlot,HourWithinTimeSlot,TransactionWeekday,AvgTransactionInterval,TransactionAmountVariance,TransactionRatio,MedianTransactionAmount,AvgTransactionAmtIn24Hrs,TransactionVelocity,TimingAnomaly,RegionAnomaly,HourlyTransactionCount,isFraud
10834,68.24,2024-01-01 19:36:23,Consumable,1086,Consumable_Merchant01,4557820380103119,455782,American Express,Silver,Debit,+91 7831213851,Hassan,Bengaluru Urban,Bengaluru Urban,90.12,,consumable@consumable_merchant01.com,desktop,,,,0.0,0.0,0.0,0,0,1,0,2,5,4,,2,2,1,0,1,1,3,0,0,0,1,0,1,0
15413,333.83,2024-01-01 22:03:08,Wallet,1530,Amazon,4841963460056942,484196,Visa,Black,Debit,+91 9536798148,Mysuru,Mysuru,Uttara Kannada,363.06,,wallet@amazon.com,mobile,Huawei,,,0.0,0.0,0.0,1,0,1,0,7,7,7,4.0,2,3,0,0,1,4,5,1,2,0,1,1,1,0
17321,37.07,2024-01-01 22:50:35,Retail,1724,Croma,4306523986643058,430652,Visa,Silver,Credit,+91 8025204680,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,63.25,manish@indiatimes.com,retail@croma.com,mobile,Oppo,,,0.0,0.0,0.0,1,0,0,0,2,2,8,7.0,1,3,0,0,0,1,1,2,0,0,1,0,1,0
18838,58.65,2024-01-02 00:01:44,Household,1879,IKEA,4123754696828900,412375,Rupay,Silver,Prepaid,+91 7736540440,Chitradurga,Chitradurga,Chitradurga,62.06,amit@gmail.com,household@ikea.com,mobile,,,,0.0,0.0,0.0,0,0,0,0,7,11,7,,4,3,2,1,0,3,1,1,0,0,1,0,1,0
15782,52.27,2024-01-02 00:40:12,Wallet,1569,Flipkart,4434190896790950,443419,Visa,Black,Debit,+91 9946465319,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,41.56,anjali@aol.in,wallet@flipkart.com,mobile,Realme,,,0.0,0.0,0.0,1,0,0,0,5,6,15,4.0,2,3,2,1,2,6,1,5,0,0,1,0,1,1
16968,112.36,2024-01-02 00:42:34,Wallet,1688,Uber,4430611496209467,443061,Visa,Platinum,Debit,+91 9035348560,Belagavi,Belagavi,Kalaburagi,297.88,deepak@bsnl.in,wallet@uber.com,desktop,Windows,,,0.0,0.0,0.0,1,0,1,0,4,9,4,4.0,6,3,2,1,1,7,2,1,1,0,1,0,1,0
19171,304.76,2024-01-02 04:37:46,Wallet,1909,BigBasket,4725015166270946,472501,Visa,Silver,Debit,+91 8622574100,Bengaluru Urban,Bengaluru Rural,Bengaluru Urban,10.73,pooja@rediffmail.com,wallet@bigbasket.com,mobile,Samsung,,,0.0,0.0,0.0,1,0,0,0,1,5,1,6.0,3,4,2,1,2,3,5,6,2,0,0,0,1,0
18425,77.64,2024-01-02 08:00:25,Consumable,1836,Swiggy Instamart,4583938136140041,458393,Visa,Black,Credit,+91 8643809137,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,52.33,rajesh@aol.in,consumable@swiggyinstamart.com,mobile,Samsung,,,0.0,0.0,0.0,1,0,0,0,8,8,12,7.0,2,5,2,1,1,2,1,6,0,0,1,0,1,0
16188,159.28,2024-01-02 08:37:56,Wallet,1612,Zomato,4369298523144365,436929,American Express,Silver,Credit,+91 9679375899,Kolar,Bengaluru Urban,Chitradurga,190.85,amit@airtelmail.com,wallet@zomato.com,mobile,Samsung,,,0.0,0.0,0.0,1,0,1,0,3,7,4,8.0,5,5,2,1,0,1,6,0,1,0,1,1,1,0
16143,185.96,2024-01-02 10:20:18,Wallet,1607,Wallet_Merchant01,4373860376462360,437386,Visa,Gold,Debit,+91 7666127419,Belagavi,Mangaluru,Mangaluru,78.5,,wallet@wallet_merchant01.com,,,,,0.0,0.0,,0,1,1,0,1,9,1,,3,0,0,1,0,7,3,5,1,0,0,0,1,0
13645,270.55,2024-01-02 16:06:09,Wallet,1352,Wallet_Merchant01,4763364222235185,476336,Visa,Black,Debit,+91 7433518496,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,18.42,kavita@aol.in,wallet@wallet_merchant01.com,,Oppo,,,0.0,0.0,,0,1,0,0,7,5,12,,1,1,2,1,2,8,3,7,2,0,0,0,1,0
18200,381.76,2024-01-02 16:20:34,Wallet,1813,Uber,4131125433989349,413112,Visa,Black,Debit,+91 7959575911,Haveri,Hubli-Dharwad,Hubli-Dharwad,72.17,meena@airtelmail.com,wallet@uber.com,mobile,Pixel,,,0.0,0.0,0.0,0,0,1,0,2,4,2,2.0,4,1,2,1,2,3,6,3,2,0,0,0,1,0
12866,92.06,2024-01-02 16:33:46,Wallet,1278,Amazon,4699443640212239,469944,Mastercard,Gold,Debit,+91 8368328744,Bengaluru Urban,Kalaburagi,Kalaburagi,18.25,kiran@zoho.com,wallet@amazon.com,desktop,Windows,,,0.0,0.0,0.0,0,0,1,0,2,6,2,3.0,4,1,2,1,1,3,2,3,1,0,0,0,1,0
18301,105.25,2024-01-02 16:44:49,Wallet,1824,Flipkart,4889206332973651,488920,Rupay,Black,Debit,+91 9572456214,Mandya,Mandya,Mandya,39.7,priya@rediffmail.com,wallet@flipkart.com,mobile,Vivo,,,0.0,0.0,0.0,0,1,0,0,4,5,4,2.0,3,1,2,1,1,5,2,6,1,0,1,0,1,0
15445,129.12,2024-01-02 17:28:13,Wallet,1534,Zomato,4038673733290557,403867,Mastercard,Platinum,Debit,+91 7256581608,Hubli-Dharwad,Belagavi,Hubli-Dharwad,69.97,vikas@outlook.co.in,wallet@zomato.com,,iOS Device,,,0.0,0.0,,0,1,0,0,1,9,1,,4,1,3,1,0,8,2,4,1,0,0,0,2,0
14955,291.12,2024-01-02 17:28:30,Household,1482,Home Centre,4100748179029256,410074,Visa,Black,Prepaid,+91 8188213388,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,80.8,shreya@zoho.com,household@homecentre.com,mobile,,,,0.0,0.0,0.0,0,0,0,0,6,7,9,,4,1,3,1,1,6,4,7,2,0,1,1,1,0
21509,305.32,2024-01-02 17:33:46,Wallet,1909,BigBasket,4725015166270946,472501,Visa,Silver,Debit,+91 8622574100,Bengaluru Urban,Bengaluru Rural,Bengaluru Urban,10.73,pooja@rediffmail.com,wallet@bigbasket.com,mobile,Samsung,,,0.0,0.0,0.0,1,0,0,0,1,5,1,6.0,3,4,2,1,2,3,5,6,2,0,0,0,1,0
17861,560.45,2024-01-02 17:40:14,Consumable,1779,JioMart,4504502142154358,450450,Rupay,Black,Debit,+91 7528049929,Mangaluru,Bengaluru Urban,Bengaluru Urban,76.41,vikas@airtelmail.com,consumable@jiomart.com,desktop,,,,0.0,0.0,0.0,0,0,1,0,1,3,3,,2,1,3,1,2,6,6,7,2,0,1,1,1,0
18455,41.25,2024-01-02 17:41:20,Wallet,1838,Zomato,4090544903092401,409054,Mastercard,Silver,Debit,+91 7094393028,Ballari,Davanagere,Davanagere,42.24,ravi@indiatimes.com,wallet@zomato.com,mobile,Motorola,,,0.0,0.0,0.0,1,0,1,0,1,6,1,4.0,3,1,3,1,1,2,1,2,0,0,1,0,2,0
12992,209.67,2024-01-02 17:51:30,Wallet,1291,BigBasket,4675573724179009,467557,Visa,Platinum,Credit,+91 8058800859,Tumakuru,Vijayapura,Vijayapura,22.2,sunil@zoho.com,wallet@bigbasket.com,mobile,,,,0.0,0.0,0.0,0,0,1,0,1,8,1,,6,1,3,1,0,2,4,5,1,0,1,0,1,0
11818,687.05,2024-01-02 18:20:48,Wallet,1177,Zomato,4594604339023940,459460,Visa,Gold,Debit,+91 8766171084,Bengaluru Urban,Mysuru,Bengaluru Urban,127.9,meena@yahoo.co.in,wallet@zomato.com,mobile,Samsung,,,0.0,0.0,0.0,0,0,0,0,1,8,1,2.0,2,2,0,1,1,9,4,8,2,0,1,0,1,0
12927,125.04,2024-01-02 19:57:17,Consumable,1284,JioMart,4233670998810601,423367,Visa,Black,Debit,+91 9043311977,Bagalkot,Bagalkot,Bagalkot,97.14,pooja@zoho.com,consumable@jiomart.com,mobile,Pixel,,,0.0,0.0,0.0,1,0,0,0,4,7,8,4.0,2,2,1,1,2,4,3,2,1,0,1,0,1,0
12135,834.14,2024-01-02 20:22:17,Consumable,1207,Zepto,4311378025937455,431137,Visa,Silver,Credit,+91 7176299057,Bengaluru Urban,Bengaluru Urban,Chitradurga,190.85,deepak@rediffmail.com,consumable@zepto.com,,Oppo,,,0.0,0.0,,0,1,1,0,3,5,7,,3,2,2,1,2,8,6,6,2,0,0,1,1,0
13384,130.09,2024-01-02 20:33:37,Wallet,1328,Zomato,4344664386456503,434466,Visa,Platinum,Credit,+91 8297448266,Mysuru,Mysuru,Yadgir,497.14,vikas@bsnl.in,wallet@zomato.com,desktop,Linux,,,0.0,0.0,0.0,1,0,1,0,3,3,11,9.0,1,2,2,1,2,0,6,0,1,0,1,1,1,0
15835,175.83,2024-01-02 20:55:07,Retail,1574,Tata Cliq,4109377949166049,410937,Visa,Gold,Debit,+91 7411069230,Mysuru,Mysuru,Kalaburagi,556.83,rajesh@rediffmail.com,retail@tatacliq.com,mobile,Poco,,,0.0,0.0,0.0,1,0,1,0,4,6,4,3.0,3,2,2,1,1,1,4,5,1,0,1,1,1,0
15924,102.75,2024-01-02 21:09:30,Consumable,1584,DMart,4432923079182963,443292,Visa,Black,Debit,+91 8451154172,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,86.15,,consumable@dmart.com,desktop,,,,0.0,0.0,0.0,0,1,0,0,4,4,10,,3,2,3,1,2,6,2,4,1,0,1,1,1,0
20648,122.73,2024-01-02 21:43:17,Consumable,1284,JioMart,4233670998810601,423367,Visa,Black,Debit,+91 9043311977,Bagalkot,Bagalkot,Bagalkot,97.14,pooja@zoho.com,consumable@jiomart.com,mobile,Pixel,,,0.0,0.0,0.0,1,0,0,0,4,7,8,4.0,2,2,1,1,2,4,3,2,1,0,1,0,1,0
18459,4.97,2024-01-02 22:09:44,Wallet,1839,Uber,4626762966333313,462676,Visa,Gold,Debit,+91 8223135068,Mysuru,Mysuru,Mysuru,10.4,amit@outlook.co.in,wallet@uber.com,mobile,Oppo,,,0.0,0.0,0.0,0,0,0,0,4,5,7,2.0,2,3,0,1,2,4,0,6,0,0,0,0,1,1
12378,152.94,2024-01-02 22:24:07,Consumable,1231,Zepto,4656280512082246,465628,Visa,Gold,Debit,+91 8562816291,Bengaluru Urban,Bengaluru Urban,Chikkaballapur,53.2,kiran@zoho.com,consumable@zepto.com,desktop,Windows,,,0.0,0.0,0.0,0,0,1,0,9,8,13,3.0,4,3,0,1,0,6,3,2,1,0,1,1,1,0
15230,170.51,2024-01-02 22:57:06,Retail,1510,Myntra,4637189187158518,463718,Rupay,Silver,Debit,+91 7986208733,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,19.35,deepak@airtelmail.com,retail@myntra.com,mobile,Redmi,,,0.0,0.0,0.0,1,0,0,0,3,5,8,4.0,3,3,0,1,2,3,3,5,1,0,1,1,1,0
15246,147.62,2024-01-03 00:13:29,Wallet,1512,Swiggy Instamart,4039261192456809,403926,Visa,Black,Debit,+91 7656912981,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,86.57,anjali@aol.in,wallet@swiggyinstamart.com,mobile,Realme,,,0.0,0.0,0.0,1,0,0,0,5,5,7,5.0,2,3,2,2,2,0,5,0,1,0,1,1,1,0
20338,103.85,2024-01-03 00:16:49,Wallet,1824,Flipkart,4889206332973651,488920,Rupay,Black,Debit,+91 9572456214,Mandya,Mandya,Mandya,39.7,priya@rediffmail.com,wallet@flipkart.com,mobile,Vivo,,,0.0,0.0,0.0,0,1,0,0,4,5,4,2.0,3,1,2,1,1,5,2,6,1,0,1,0,1,0
10009,99.04,2024-01-03 02:52:03,Consumable,1001,MilkBasket,4133509290128174,413350,Visa,Platinum,Debit,+91 8409927945,Vijayapura,Hubli-Dharwad,Bengaluru Urban,391.77,pooja@indiatimes.com,consumable@milkbasket.com,mobile,Huawei,,,0.0,0.0,0.0,0,0,1,0,1,6,1,1.0,5,4,0,2,0,3,3,2,1,0,1,1,1,0
18664,235.72,2024-01-03 03:33:15,Wallet,1858,Amazon,4952662261500018,495266,Visa,Black,Debit,+91 8270600824,Bengaluru Urban,Bengaluru Urban,Hassan,162.0,rajesh@gmail.com,wallet@amazon.com,mobile,Realme,,,0.0,0.0,0.0,1,0,1,0,5,4,11,5.0,2,4,1,2,2,2,6,3,2,0,1,1,1,0
10619,47.92,2024-01-03 04:16:02,Wallet,1063,Uber,4397314552266569,439731,Visa,Platinum,Debit,+91 7185070845,Davanagere,Bengaluru Urban,Kalaburagi,488.59,meena@aol.in,wallet@uber.com,,Redmi,,,0.0,0.0,,0,1,1,0,2,3,2,,2,4,2,2,2,6,0,3,0,0,0,1,1,0
20586,93.7,2024-01-03 04:32:46,Wallet,1278,Amazon,4699443640212239,469944,Mastercard,Gold,Debit,+91 8368328744,Bengaluru Urban,Kalaburagi,Kalaburagi,18.25,kiran@zoho.com,wallet@amazon.com,desktop,Windows,,,0.0,0.0,0.0,0,0,1,0,2,6,2,3.0,4,1,2,1,1,3,2,3,1,0,0,0,1,0
11456,111.86,2024-01-03 05:16:39,Wallet,1142,Zomato,4961265787941333,496126,Mastercard,Gold,Credit,+91 9474496584,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,11.0,,wallet@zomato.com,,MacOS,,,0.0,0.0,,0,1,0,1,5,5,8,,2,4,3,2,2,3,2,5,1,0,0,0,1,0
16731,73.05,2024-01-03 05:33:52,Wallet,1665,Swiggy Instamart,4233226263323422,423322,Mastercard,Black,Debit,+91 7049631626,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,26.23,ramesh@airtelmail.com,wallet@swiggyinstamart.com,mobile,Realme,,,0.0,0.0,0.0,1,0,0,0,5,7,5,5.0,4,4,3,2,1,3,2,2,0,0,1,1,1,0
19210,27.91,2024-01-03 06:12:21,Retail,1913,Amazon,4152970954290237,415297,Visa,Black,Credit,+91 9145254235,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,9.31,shreya@bsnl.in,retail@amazon.com,mobile,Motorola,,,0.0,0.0,0.0,0,0,0,0,10,14,10,3.0,7,5,0,2,0,8,0,2,0,0,1,0,1,1
20019,42.52,2024-01-03 08:04:53,Wallet,1992,Uber,4426979155743779,442697,Visa,Silver,Credit,+91 7808883964,Chitradurga,Bengaluru Urban,Koppal,306.0,sonia@airtelmail.com,wallet@uber.com,mobile,Pixel,,,0.0,0.0,0.0,1,0,1,0,1,1,2,3.0,1,5,2,2,,,4,0,0,0,1,1,1,0
13356,50.43,2024-01-03 08:57:13,Wallet,1326,Flipkart,4557429582688537,455742,Rupay,Platinum,Debit,+91 8607193471,Mysuru,Vijayapura,Mysuru,511.43,manish@bsnl.in,wallet@flipkart.com,desktop,MacOS,,,0.0,0.0,0.0,0,1,0,0,1,9,1,3.0,7,5,2,2,0,5,1,3,0,0,1,1,1,0
21249,128.34,2024-01-03 10:54:13,Wallet,1534,Zomato,4038673733290557,403867,Mastercard,Platinum,Debit,+91 7256581608,Hubli-Dharwad,Belagavi,Hubli-Dharwad,69.97,vikas@outlook.co.in,wallet@zomato.com,,iOS Device,,,0.0,0.0,,0,1,0,0,1,9,1,,4,1,3,1,0,8,2,4,1,0,0,0,2,0
20700,41.94,2024-01-03 11:54:20,Wallet,1838,Zomato,4090544903092401,409054,Mastercard,Silver,Debit,+91 7094393028,Ballari,Davanagere,Davanagere,42.24,ravi@indiatimes.com,wallet@zomato.com,mobile,Motorola,,,0.0,0.0,0.0,1,0,1,0,1,6,1,4.0,3,1,3,1,1,2,1,2,0,0,1,0,2,0
12512,416.17,2024-01-03 12:03:07,Wallet,1243,Zomato,4211176694865473,421117,Visa,Silver,Credit,+91 9531445478,Bengaluru Urban,Bengaluru Urban,Hassan,162.0,,wallet@zomato.com,,MacOS,,,0.0,0.0,,0,1,1,0,3,3,5,,3,0,2,2,2,3,5,8,2,0,0,1,1,0
13757,45.13,2024-01-03 12:12:47,Wallet,1363,Flipkart,4031971947953359,403197,Rupay,Platinum,Debit,+91 9506562452,Haveri,Mysuru,Belagavi,456.17,,wallet@flipkart.com,desktop,Windows,,,0.0,0.0,0.0,0,1,1,0,1,6,1,3.0,3,0,2,2,1,6,1,1,0,0,1,1,1,0
12860,160.62,2024-01-03 13:37:22,Wallet,1278,Swiggy Instamart,4699443640212239,469944,Mastercard,Gold,Debit,+91 8368328744,Bengaluru Urban,Bengaluru Urban,Hubli-Dharwad,391.77,kiran@zoho.com,wallet@swiggyinstamart.com,desktop,Windows,0.0,0.0,0.0,0.0,0.0,0,0,1,0,5,6,5,3.0,4,0,3,2,1,3,4,3,2,0,1,1,1,0
19377,311.96,2024-01-03 14:43:43,Wallet,1927,Swiggy Instamart,4385812018215884,438581,Rupay,Gold,Credit,+91 8950014747,Belagavi,Bagalkot,Belagavi,92.63,priya@outlook.co.in,wallet@swiggyinstamart.com,mobile,Samsung,,,0.0,0.0,0.0,1,0,0,0,1,6,1,4.0,5,1,0,2,0,1,6,2,2,0,1,0,1,0
19784,71.47,2024-01-03 17:23:20,Household,1971,Hometown,4974987451013231,497498,Mastercard,Platinum,Debit,+91 7569749020,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,54.27,,household@hometown.com,mobile,Motorola,,,0.0,0.0,0.0,0,0,0,0,3,5,6,4.0,3,1,3,2,1,0,2,3,0,0,1,0,1,0
17203,23.17,2024-01-03 17:48:45,Wallet,1710,Google Play,4473085656045490,447308,Mastercard,Black,Debit,+91 8383321190,Belagavi,Belagavi,Davanagere,216.04,neha@yahoo.co.in,wallet@googleplay.com,mobile,,,,0.0,0.0,0.0,0,0,1,0,2,3,4,,3,1,3,2,2,6,0,0,0,0,1,0,1,0
12359,162.1,2024-01-03 18:49:18,Household,1229,Home Centre,4272632965860748,427263,Visa,Silver,Debit,+91 9942703194,Mysuru,Mysuru,Mysuru,43.44,ramesh@airtelmail.com,household@homecentre.com,mobile,Realme,,,0.0,0.0,0.0,1,0,0,0,8,8,8,7.0,2,2,0,2,0,4,4,3,1,0,1,0,1,0
11978,2188.21,2024-01-03 19:11:38,Wallet,1193,Zomato,4105789085257347,410578,Visa,Gold,Credit,+91 9542692129,Koppal,Koppal,Bengaluru Urban,306.0,anjali@aol.in,wallet@zomato.com,,Samsung,,,0.0,0.0,,0,1,1,0,9,10,9,,6,2,1,2,0,9,6,2,2,0,0,0,1,1
11239,65.95,2024-01-03 19:52:12,Wallet,1123,BigBasket,4832321155125087,483232,Mastercard,Black,Credit,+91 8905402694,Vijayapura,Vijayapura,Vijayapura,77.35,anjali@gmail.com,wallet@bigbasket.com,mobile,Redmi,,,0.0,0.0,0.0,1,0,0,0,5,6,9,5.0,3,2,1,2,1,3,2,0,0,0,1,0,1,0
16002,274.0,2024-01-03 20:12:26,Wallet,1593,Wallet_Merchant01,4598836933817642,459883,Mastercard,Gold,Debit,+91 7256797820,Bengaluru Urban,Bengaluru Urban,Yadgir,422.68,sunil@zoho.com,wallet@wallet_merchant01.com,mobile,Samsung,,,0.0,0.0,0.0,1,0,1,0,2,5,8,7.0,3,2,2,2,2,5,4,6,2,0,1,1,1,0
13857,438.94,2024-01-03 20:20:07,Wallet,1374,Amazon,4883592734114317,488359,Visa,Silver,Debit,+91 8582211166,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,40.08,suresh@rediffmail.com,wallet@amazon.com,mobile,Redmi,,,0.0,0.0,0.0,1,0,0,0,2,2,4,2.0,1,2,2,2,2,7,5,7,2,0,1,1,1,0
21129,23.22,2024-01-03 21:11:45,Wallet,1710,Google Play,4473085656045490,447308,Mastercard,Black,Debit,+91 8383321190,Belagavi,Belagavi,Davanagere,216.04,neha@yahoo.co.in,wallet@googleplay.com,mobile,,,,0.0,0.0,0.0,0,0,1,0,2,3,4,,3,1,3,2,2,6,0,0,0,0,1,0,1,0
